Huntsville,,,,,,,UNCC,,,,,,,,,,,Huntsville (different cup),,,,,
t (s),Moisture (0-0.5),temp (C),ec (uScm),pH,n (mgkg),,t (s),Moisture (0-0.5),temp (C),ec (uScm),pH,n (mgkg),,IMPORTANT NOTE:,,,,t (s),Moisture (0-0.5),temp (C),ec (uScm),pH,n (mgkg)
1,0.449,22.9,64,6.3,15,,1,0.391,23.6,57,5.5,38,,(raw - 200.0f) / 1800.0f;,,,two prongs,1,0.443,25.3,135,6.1,0
2,0.361,24.5,66,6.3,15,,2,0.423,22.2,56,5.5,38,,output moisture value: 0.000 to 0.500,,,,2,0.43,23,136,6.1,0
3,0.449,23.1,65,6.3,15,,3,0.416,23.8,56,5.5,38,,target moisture : ~0.400,,,,3,0.453,25.6,135,6.1,0
4,0.417,24.2,65,6.3,15,,4,0.43,23,56,5.5,38,,,,,,4,0.439,25.5,134,6.1,0
5,0.453,24.2,65,6.3,15,,5,0.438,23.7,56,5.5,38,,,,,,5,0.438,25.4,134,6.1,0
6,0.404,24.1,64,6.3,15,,6,0.405,23.5,56,5.5,38,,,,,,6,0.421,25.6,134,6.1,0
7,0.453,7.5,65,6.3,15,,7,0.442,23.4,56,5.4,38,,,,,,7,0.453,25.8,135,6.1,0
8,0.419,23.7,64,6.3,15,,8,0.421,23.5,57,5.4,38,,,,,,8,0.435,22.5,135,6.1,0
9,0.443,23.9,63,6.3,15,,9,0.427,21.8,56,5.4,38,,,,,,9,0.417,25.6,135,6.1,0
10,0.426,24.7,64,6.3,15,,10,0.421,20.2,57,5.4,38,,,,,,10,0.438,25.3,135,6.1,0
11,0.453,23.1,64,6.3,15,,11,0.402,23.6,55,5.4,38,,,,,,11,0.453,25.3,135,6.1,0
12,0.392,22,63,6.3,15,,12,0.387,5.3,55,5.4,38,,,,,,12,0.446,24.5,134,6.1,0
13,0.429,24.4,65,6.3,16,,13,0.428,23.6,56,5.4,38,,,,,,13,0.399,25.1,135,6.1,0
14,0.397,25.7,64,6.3,16,,14,0.423,23.5,56,5.4,38,,,,,,14,0.453,25.1,134,6.1,0
15,0.452,23.1,63,6.3,16,,15,0.41,23.9,55,5.4,38,,,,,,15,0.427,25.5,134,6.1,0
16,0.411,24.1,63,6.2,16,,16,0.423,23.8,55,5.4,38,,,,,,16,0.433,25.2,135,6.1,0
17,0.413,9.2,63,6.2,16,,17,0.401,23.7,57,5.4,38,,,,,,17,0.443,25.9,134,6.1,0
18,0.428,24.4,64,6.2,16,,18,0.389,20.7,57,5.4,38,,,,,,18,0.453,25.4,134,6.1,0
19,0.451,24.5,63,6.2,16,,19,0.451,24.1,55,5.4,38,,,,,,19,0.436,25.4,134,6.1,0
20,0.416,24,64,6.2,16,,20,0.416,23.2,56,5.3,38,,,,,,20,0.423,25.3,135,6.1,0
21,0.421,23.9,64,6.2,16,,21,0.446,23.7,57,5.3,38,,,,,,21,0.453,25.9,134,6.1,0
22,0.435,24.5,63,6.2,16,,22,0.423,21.4,55,5.3,38,,,,,,22,0.448,25.6,134,6.1,0
23,0.452,23.8,62,6.2,16,,23,0.444,23.4,56,5.3,38,,,,,,23,0.453,20.1,135,6.1,0
24,0.433,24.6,62,6.2,16,,24,0.402,21.2,56,5.3,38,,,,,,24,0.421,25.2,135,6.1,0
25,0.418,23,63,6.2,16,,25,0.453,23.6,56,5.3,38,,,,,,25,0.453,25.5,134,6.1,0
26,0.427,24.6,62,6.2,16,,26,0.414,18.9,57,5.3,38,,,,,,26,0.426,25.7,135,6.1,0
27,0.451,22.9,63,6.2,16,,27,0.448,23.7,55,5.3,38,,,,,,27,0.423,25.5,134,6.1,0
28,0.453,24.3,63,6.2,16,,28,0.409,9.9,56,5.3,38,,,,,,28,0.433,25.4,135,6.1,0
29,0.397,23.2,62,6.2,16,,29,0.421,23.9,56,5.3,38,,,,,,29,0.453,25.7,134,6.1,0
30,0.453,-2.3,62,6.2,16,,30,0.424,23.3,56,5.3,38,,,,,,30,0.451,25.1,135,6.1,0
31,0.426,25.1,63,6.2,16,,31,0.452,21.8,56,5.3,38,,,,,,31,0.407,25.5,134,6.1,0
32,0.45,26,63,6.2,16,,32,0.424,23.7,55,5.3,38,,,,,,32,0.453,25,134,6.1,0
33,0.418,25,63,6.2,16,,33,0.449,23.6,56,5.2,38,,,,,,33,0.446,25.4,135,6.1,0
34,0.453,25.5,62,6.2,16,,34,0.394,23.3,57,5.2,38,,,,,,34,0.453,25.6,135,6.1,0
35,0.425,24.6,63,6.2,16,,35,0.453,23.8,56,5.2,38,,,,,,35,0.427,25.4,136,6.1,0
36,0.453,24.7,62,6.2,16,,36,0.387,23.2,56,5.2,38,,,,,,36,0.453,25.4,135,6.1,0
37,0.417,24.9,63,6.2,16,,37,0.452,23.9,55,5.2,38,,,,,,37,0.415,25.8,134,6.1,0
38,0.453,19.4,63,6.2,16,,38,0.419,23.7,56,5.2,38,,,,,,38,0.443,25.2,135,6.1,0
39,0.436,25,63,6.2,16,,39,0.434,24,57,5.2,38,,,,,,39,0.428,25.2,134,6.1,0
40,0.45,25.1,62,6.2,16,,40,0.428,23.6,55,5.2,38,,,,,,40,0.453,25.3,135,6.1,0
41,0.415,11.6,63,6.2,16,,41,0.413,23.9,56,5.2,38,,,,,,41,0.426,25.5,135,6.1,0
42,0.436,24.1,63,6.2,16,,42,0.434,21.2,57,5.2,38,,,,,,42,0.429,25.1,135,6.1,0
43,0.432,24.5,63,6.2,16,,43,0.367,23.1,56,5.2,38,,,,,,43,0.422,25.7,135,6.1,0
44,0.453,24.6,62,6.1,16,,44,0.423,23.6,57,5.2,38,,,,,,44,0.453,20.6,134,6.1,0
45,0.4,21.8,64,6.1,16,,45,0.366,24,55,5.2,38,,,,,,45,0.419,25.8,135,6.1,0
46,0.441,24.9,63,6.1,16,,46,0.448,20.2,56,5.2,38,,,,,,46,0.421,25.5,134,6.1,0
47,0.452,24.3,63,6.1,16,,47,0.377,20.2,55,5.2,38,,,,,,47,0.438,25.6,135,6.1,0
48,0.417,24.8,63,6.1,16,,48,0.424,21.9,56,5.2,38,,,,,,48,0.45,25.4,135,6.1,0
49,0.426,15.1,61,6.1,16,,49,0.386,24,57,5.2,38,,,,,,49,0.453,25.5,134,6.1,0
50,0.43,24.7,61,6.1,16,,50,0.439,24.9,56,5.2,38,,,,,,50,0.419,22.3,135,6.1,0
51,0.453,21.9,61,6.1,16,,51,0.363,23.6,56,5.2,38,,,,,,51,0.453,25.3,135,6.1,0
52,0.407,25.2,62,6.1,16,,52,0.451,23.3,57,5.2,38,,,,,,52,0.404,23.4,135,6.1,0
53,0.44,24.7,61,6.1,16,,53,0.343,20.4,57,5.1,38,,,,,,53,0.417,25.5,134,6.1,0
54,0.402,24.4,62,6.1,16,,54,0.452,23.7,56,5.1,38,,,,,,54,0.436,25.9,134,6.1,0
55,0.451,22.5,62,6.1,16,,55,0.346,23.9,55,5.1,38,,,,,,55,0.453,25.5,135,6.1,0
56,0.419,24.4,61,6.1,16,,56,0.453,23.7,56,5.1,38,,,,,,56,0.437,25.4,135,6.1,0
57,0.446,24.9,62,6.1,16,,57,0.355,-47.8,56,5.1,38,,,,,,57,0.429,25.1,134,6.1,0
58,0.35,25.1,61,6.1,16,,58,0.453,4.2,56,5.1,38,,,,,,58,0.447,25.5,135,6.1,0
59,0.453,24.6,61,6.1,16,,59,0.408,-1.9,57,5.1,38,,,,,,59,0.442,25.7,135,6.1,0
60,0.429,25.4,61,6.1,16,,60,0.404,24.6,55,5.1,38,,,,,,60,0.449,25.2,135,6.1,0
61,0.452,25,62,6.1,16,,61,0.359,5,56,5.1,38,,,,,,61,0.425,25.7,134,6.1,0
62,0.411,24.5,61,6.1,16,,62,0.446,23.8,57,5.1,38,,,,,,62,0.453,25.4,135,6.1,0
63,0.453,22.8,61,6.1,16,,63,0.414,19.6,56,5.1,38,,,,,,63,0.437,24.6,135,6.1,0
64,0.429,25.1,61,6.1,16,,64,0.453,24.6,57,5.1,38,,,,,,64,0.437,25.6,134,6.1,0
65,0.447,24.7,60,6.1,16,,65,0.318,20.6,56,5.1,38,,,,,,65,0.442,25.5,135,6.1,0
66,0.397,23.6,61,6.1,16,,66,0.451,23.7,56,5.1,38,,,,,,66,0.453,25.6,135,6.1,0
67,0.436,25,62,6.1,16,,67,0.378,23.9,56,5.1,38,,,,,,67,0.422,24.1,135,6.1,0
68,0.45,24.5,61,6.1,16,,68,0.451,24,56,5.1,38,,,,,,68,0.442,25.7,134,6.1,0
69,0.428,24.1,60,6.1,16,,69,0.383,23.9,57,5.1,38,,,,,,69,0.445,23.6,135,6.1,0
70,0.423,22.9,62,6.1,16,,70,0.453,23.2,56,5.1,38,,,,,,70,0.453,25.7,134,6.1,0
71,0.413,25.2,61,6.1,16,,71,0.383,23.2,56,5.1,38,,,,,,71,0.451,24.9,135,6.1,0
72,0.453,25.3,61,6.1,16,,72,0.453,22.9,56,5.1,38,,,,,,72,0.41,25.6,134,6.1,0
73,0.42,25.1,61,6.1,16,,73,0.354,23.9,56,5.1,38,,,,,,73,0.429,24.9,135,6.1,0
74,0.432,24.8,61,6.1,16,,74,0.447,24.8,57,5,38,,,,,,74,0.453,16.3,135,6.1,0
75,0.409,25.1,61,6.1,16,,75,0.364,23.7,55,5,38,,,,,,75,0.447,25.6,135,6.1,0
76,0.448,25.1,61,6.1,16,,76,0.45,21,57,5,38,,,,,,76,0.423,25.5,135,6.1,0
77,0.407,24.9,60,6.1,16,,77,0.386,23.9,56,5,38,,,,,,77,0.451,22.5,135,6.1,0
78,0.442,25.1,59,6.1,16,,78,0.453,23.7,56,5,38,,,,,,78,0.401,24.2,135,6.1,0
79,0.37,21.2,60,6.1,16,,79,0.39,22.8,57,5,38,,,,,,79,0.45,25.6,135,6.1,0
80,0.453,25.2,62,6,16,,80,0.453,23.3,56,5,38,,,,,,80,0.415,25.2,135,6.1,0
81,0.415,25.6,61,6,16,,81,0.38,23.9,57,5,38,,,,,,81,0.453,23.2,135,6.1,0
82,0.448,24,60,6,16,,82,0.453,23,55,5,38,,,,,,82,0.419,25.3,135,6.1,0
83,0.404,24.7,60,6,16,,83,0.341,-49.4,56,5,38,,,,,,83,0.444,25.6,135,6.1,0
84,0.453,23.4,60,6,16,,84,0.453,4.8,56,5,38,,,,,,84,0.421,25.4,135,6.1,0
85,0.409,23.3,60,6,16,,85,0.397,24,56,5,38,,,,,,85,0.453,25.6,134,6.1,0
86,0.449,25.3,60,6,16,,86,0.45,23.8,56,5,38,,,,,,86,0.414,20.9,135,6.1,0
87,0.401,25.3,61,6,16,,87,0.339,23.9,55,5,38,,,,,,87,0.414,22.9,135,6.1,0
88,0.453,25.2,60,6,16,,88,0.427,24.2,56,5,38,,,,,,88,0.453,25.3,135,6.1,0
89,0.422,18.5,61,6,16,,89,0.388,24,57,5,38,,,,,,89,0.419,26,134,6.1,0
90,0.436,25.1,60,6,16,,90,0.44,23.8,56,5,38,,,,,,90,0.437,25.5,135,6.1,0
91,0.388,19.9,60,6,16,,91,0.368,23.7,57,5,38,,,,,,91,0.429,25.6,135,6.1,0
92,0.452,25.5,59,6,16,,92,0.443,19.9,55,5,38,,,,,,92,0.453,25.5,135,6.1,0
93,0.431,24.9,60,6,16,,93,0.386,24.4,56,5,38,,,,,,93,0.447,25.6,134,6.1,0
94,0.446,25,60,6,16,,94,0.447,23.9,55,5,38,,,,,,94,0.424,25.5,135,6.1,0
95,0.409,24.9,61,6,16,,95,0.341,23.7,56,5,38,,,,,,95,0.434,25.5,135,6.1,0
96,0.453,25.3,61,6,16,,96,0.451,23.9,58,5,38,,,,,,96,0.449,25.8,135,6.1,0
97,0.396,25.4,59,6,16,,97,0.407,24,56,5,38,,,,,,97,0.453,24.9,135,6.1,0
98,0.446,26,59,6,16,,98,0.451,23.7,55,5,38,,,,,,98,0.426,26.2,134,6.1,0
99,0.408,25.5,60,6,16,,99,0.402,23.7,56,5,38,,,,,,99,0.453,25.2,135,6.1,0
100,0.453,25.1,60,6,16,,100,0.453,24.6,56,5,38,,,,,all four prongs,100,0.413,25.5,135,6.1,0
101,0.415,25.1,60,6,16,,101,0.392,-0.7,56,5,38,,,,,,101,0.453,25.3,136,6.1,0
102,0.429,24.8,61,6,16,,102,0.453,23.9,56,5,38,,,,,,102,0.408,25.4,137,6.1,0
103,0.427,24.5,61,6,16,,103,0.393,21.7,57,5,38,,,,,,103,0.442,25.1,137,5.9,0
104,0.453,22.6,61,6,16,,104,0.422,19.9,56,5,38,,,,,,104,0.428,24.9,137,5.6,0
105,0.441,19.7,61,6,16,,105,0.412,22,55,4.9,38,,,,,,105,0.45,24.9,137,5.1,0
106,0.407,25.1,60,6,16,,106,0.438,24.3,56,4.9,38,,,,,,106,0.39,25.1,137,5,0
107,0.422,24.9,60,6,16,,107,0.41,21.8,56,4.9,38,,,,,,107,0.297,25.2,137,4.8,0
108,0.432,21.5,60,6,16,,108,0.426,24,56,4.9,38,,,,,,108,0.247,23.4,137,4.5,0
109,0.45,14.3,61,6,16,,109,0.418,23.8,56,4.9,38,,,,,,109,0.412,25.1,136,4.3,0
110,0.409,14.5,60,6,16,,110,0.393,23.4,55,4.9,38,,,,,,110,0.428,25.5,139,4.3,0
111,0.453,24.7,60,6,16,,111,0.425,17.7,56,4.9,38,,,,,,111,0.453,25.1,138,4.4,0
112,0.441,18.1,61,6,16,,112,0.428,24.2,56,4.9,38,,,,,,112,0.406,24.4,138,4.4,0
113,0.453,25.3,61,6,16,,113,0.396,23.8,56,4.9,38,,,,,,113,0.307,24.9,137,4.3,0
114,0.396,25.9,60,6,16,,114,0.449,23.9,57,4.9,38,,,,,,114,0.282,24.9,136,4.1,0
115,0.453,21.2,62,6,16,,115,0.407,24,56,4.9,38,,,,,,115,0.213,24.8,136,3.9,0
116,0.438,24.5,61,6,16,,116,0.39,23.4,56,4.9,38,,,,,,116,0.439,24.8,137,4,0
117,0.418,25.4,61,6,16,,117,0.404,-14.1,56,4.9,38,,,,,,117,0.447,24.4,138,4.1,0
118,0.435,25.5,61,6,16,,118,0.392,24,56,4.9,38,,,,,,118,0.423,24.6,138,4.2,0
119,0.445,-18.2,61,6,16,,119,0.36,22.2,57,4.9,38,,,,,,119,0.266,24.7,136,4.1,0
120,0.426,25.5,61,6,16,,120,0.453,15.8,56,4.9,38,,,,,,120,0.171,24.3,136,3.9,0
121,0.403,24.2,60,6,16,,121,0.394,24,56,4.9,38,,,,,,121,0.164,24.8,135,3.7,0
122,0.447,25.2,61,6,16,,122,0.403,24.1,56,4.9,38,,,,,,122,0.439,24.6,137,3.8,0
123,0.451,25.2,61,6,16,,123,0.425,-48,56,4.9,38,,,,,,123,0.414,24.3,138,3.9,0
124,0.451,23,61,6,16,,124,0.397,18.9,56,4.9,38,,,,,,124,0.412,24.5,138,4.1,0
125,0.401,25.5,61,6,16,,125,0.403,22,56,4.9,38,,,,,,125,0.309,24.8,136,4,0
126,0.453,11,62,6,16,,126,0.359,22.3,57,4.9,38,,,,,,126,0.29,24.3,135,3.8,0
127,0.4,25.1,61,5.9,16,,127,0.423,-54.4,57,4.9,38,,,,,,127,0.149,24.6,136,3.6,0
128,0.417,25.1,61,5.9,16,,128,0.359,23.6,56,4.9,38,,,,,,128,0.432,24.5,138,3.7,0
129,0.424,25,61,5.9,16,,129,0.433,16.3,56,4.9,38,,,,,,129,1,768,138,3.8,0
130,0.453,25.5,61,5.9,16,,130,0.376,22.9,57,4.9,38,,,,,,130,1,768,139,4.2,0
131,0.432,26.6,60,5.9,16,,131,0.444,22.2,57,4.8,38,,,,,,131,0.349,24.2,138,4.1,0
132,0.43,26.2,61,5.9,16,,132,0.352,24.7,56,4.8,38,,,,,,132,0.333,22.7,139,4.1,0
133,0.443,18.8,60,5.9,16,,133,0.453,24,56,4.8,38,,,,,,133,0.292,23.9,136,3.9,0
134,0.446,-5.6,61,5.9,16,,134,0.383,22.9,57,4.8,38,,,,,,134,0.453,23.6,137,3.7,0
135,0.449,25,61,5.9,16,,135,0.453,22.9,58,4.8,38,,,,,,135,0.422,24.3,137,3.5,0
136,0.412,13.4,61,5.9,16,,136,0.4,23.5,55,4.8,38,,,,,,136,0.416,24.2,137,3.4,0
137,0.444,25.2,61,5.9,16,,137,0.444,24.1,56,4.8,38,,,,,,137,0.363,23.6,137,3.5,0
138,0.409,25.4,61,5.9,16,,138,0.406,19.7,56,4.8,38,,,,,,138,0.289,24.8,137,3.5,0
139,0.432,25.4,61,5.9,16,,139,0.412,23.9,57,4.8,38,,,,,,139,0.167,23.8,135,3.5,0
140,0.375,21.2,61,5.9,16,,140,0.444,23.7,56,4.8,38,,,,,no prongs,140,0.399,23.8,137,3.4,0
141,0.453,19.9,62,5.9,16,,141,0.379,23.7,57,4.8,38,,,,,,141,0.437,24.1,137,3.3,0
142,0.399,24.8,60,5.9,16,,142,0.432,12.4,57,4.8,38,,,,,,142,0.358,24.2,138,3.3,0
143,0.431,22.2,61,5.9,16,,143,0.357,23.9,56,4.8,38,,,,,,143,0.452,24,139,3.4,0
144,0.414,21.5,61,5.9,16,,144,0.451,21.3,56,4.8,38,,,,,,144,0.088,24.2,136,4.3,0
145,0.453,24.6,61,5.9,16,,145,0.373,23.5,56,4.8,38,,,,,,145,0.086,24.3,135,5.3,0
146,0.439,25.4,60,5.9,16,,146,0.453,11,56,4.8,38,,,,,,146,0.082,24.2,135,5.8,0
147,0.422,24.5,61,5.9,16,,147,0.381,19.5,57,4.8,38,,,,,,147,0.086,24.3,135,5.9,0
148,0.453,24.9,62,5.9,16,,148,0.452,24.1,57,4.8,38,,,,,,148,0.087,24.1,135,5.9,0
149,0.431,21,61,5.9,16,,149,0.403,23.6,57,4.8,38,,,,,,149,0.087,23.9,135,5.9,0
150,0.453,25.1,61,5.9,16,,150,0.429,23.9,56,4.8,38,,,,,,150,0.09,24.3,135,5.9,0
151,0.387,25.5,60,5.9,17,,151,0.401,22.3,56,4.8,38,,,,,,151,0.09,24.1,135,5.9,0
152,0.452,18.6,61,5.9,17,,152,0.396,23.7,57,4.8,38,,,,,,152,0.094,23.7,135,5.8,0
153,0.4,25.3,62,5.9,17,,153,0.413,23.7,57,4.8,38,,,,,,153,0.102,24,135,5.8,0
154,0.418,22.9,61,5.9,17,,154,0.358,24,56,4.8,38,,,,,,154,0.104,23.5,135,5.9,0
155,0.436,24.6,61,5.9,17,,155,0.42,1.3,56,4.8,38,,,,,,155,0.096,23.9,135,5.9,0
156,0.449,24.9,62,5.9,17,,156,0.369,23.8,56,4.8,38,,,,,,156,0.087,24.2,135,5.9,0
157,0.449,23.8,61,5.9,17,,157,0.451,23.6,57,4.8,38,,,,,,157,0.091,23.9,135,5.9,0
158,0.428,25.2,61,5.9,17,,158,0.382,22.8,56,4.8,38,,,,,,158,0.091,23.7,135,5.9,0
159,0.444,23.8,61,5.9,17,,159,0.418,15,56,4.8,38,,,,,,159,0.088,23.9,135,5.9,0
160,0.442,25.2,61,5.9,17,,160,0.395,24,55,4.8,38,,,,,two prongs ,160,0.092,23.7,135,5.9,0
161,0.446,25.1,61,5.9,17,,161,0.453,24.1,57,4.8,38,,,,,,161,0.266,24.1,135,5.9,0
162,0.407,25.1,62,5.9,17,,162,0.416,24.5,57,4.8,38,,,,,,162,0.325,23.4,135,5.9,0
163,0.453,24.2,61,5.9,17,,163,0.409,22.8,55,4.8,38,,,,,,163,0.41,23.7,135,5.9,0
164,0.437,25.3,61,5.9,17,,164,0.396,2,57,4.8,38,,,,,,164,0.39,23.4,138,5.9,0
165,0.453,25.1,61,5.9,17,,165,0.363,22.7,56,4.8,38,,,,,,165,0.453,23.6,137,6,0
166,0.351,25.6,61,5.9,17,,166,0.431,23.8,57,4.8,38,,,,,,166,0.423,24,136,6.1,0
167,0.453,25.4,60,5.9,17,,167,0.409,24,57,4.8,38,,,,,,167,0.453,22.8,135,6.1,0
168,0.421,25.6,62,5.9,17,,168,0.453,23.2,57,4.8,38,,,,,,168,0.413,22.7,135,6.1,0
169,0.443,24,60,5.9,17,,169,0.372,20.9,56,4.8,38,,,,,,169,0.442,23.3,135,6,0
170,0.394,25.4,61,5.9,17,,170,0.451,23.9,56,4.8,38,,,,,,170,0.453,21.2,136,6,0
171,0.453,21.7,61,5.9,17,,171,0.396,24.1,56,4.8,38,,,,,,171,0.448,23.9,135,6,0
172,0.403,25.6,62,5.9,17,,172,0.453,24.2,56,4.8,38,,,,,,172,0.432,21.3,135,5.9,0
173,0.422,25.9,61,5.9,17,,173,0.38,23.3,57,4.7,38,,,,,,173,0.412,23,135,5.9,0
174,0.383,25.1,62,5.9,17,,174,0.386,17.7,56,4.7,38,,,,,,174,0.453,22.7,135,5.9,0
175,0.452,22.1,61,5.9,17,,175,0.422,24.1,58,4.7,38,,,,,,175,0.433,22.7,135,5.9,0
176,0.393,23.2,61,5.9,17,,176,0.382,22.7,57,4.7,38,,,,,,176,0.453,24.5,135,5.9,0
177,0.439,23.8,61,5.9,17,,177,0.352,13.8,57,4.7,38,,,,,,177,0.435,23,135,5.9,0
178,0.416,25.4,61,5.9,17,,178,0.367,23.5,56,4.7,38,,,,,,178,0.432,24.2,136,5.9,0
179,0.453,17.5,61,5.9,17,,179,0.452,24,56,4.7,38,,,,,,179,0.452,23.9,135,5.9,0
al link,,,,5 to 6.5,90 to 120,,nc link,,,13 to 100,5 to 6.5,80 to 160,,,,,,nc link,,,13 to 100,5 to 6.5,80 to 160
,,,,,16,,,,,,,38,,,,,,,,,,,